Name,Category,State,Marker Type,Latitude,Longitude,Details,,,,,,,,,,,,,,,,,,,,
Rocky Mountains,Mountain Range,Multiple,None,44° 15′ 51.5″ N,109° 47′ 13.2″ W,,,,,,,,,,,,,,,,,,,,,
Sacramento,City,California,Star,"38° 32' 11.5"" N","121° 22' 33.6"" W",State Capital,,,,,,,,,,,,,,,,,,,,
Saguaro,National Park,Arizona,Dot,"32° 11' 50.8"" N","110° 32' 11.8"" W",,,,,,,,,,,,,,,,,,,,,
Saint Lawrence Island,Island,Alaska,None,"63° 30' 11.1"" N","170° 26' 41.3"" W",,,,,,,,,,,,,,,,,,,,,
Salt Lake City,City,Utah,Star,"40° 45' 51.1"" N","111° 53' 54.3"" W",State Capital,,,,,,,,,,,,,,,,,,,,
San Juan Islands,Island,Washington,Dot,"48° 36' 46.9"" N","122° 59' 36.3"" W",,,,,,,,,,,,,,,,,,,,,
Santa Fe,City,New Mexico,Dot,35° 41' 29.6'' N,105° 56' 39.1'' W,State Capital,,,,,,,,,,,,,,,,,,,,
Sawtooth,National Recreation Area,Idaho,Dot,"43° 33' 12.8"" N","114° 42' 57.1"" W",,,,,,,,,,,,,,,,,,,,,
Seward Peninsula,Peninsula,Alaska,None,"65° 20' 00.9"" N","164° 14' 54.1"" W",,,,,,,,,,,,,,,,,,,,,
Siniktanneyak Mountain,Mountain,Alaska,Triangle,"68° 19' 58.1"" N","158° 28' 46.0"" W","4,524 ft",,,,,,,,,,,,,,,,,,,,
Sinks Canyon,State Park,Wyoming,Dot,"42° 44' 49.5"" N","108° 48' 45.5"" W",,,,,,,,,,,,,,,,,,,,,
Sierra Nevada,Mountain Range,Multiple,None,38° 22′ 15.3″ N,119° 31′ 36.8″ W,,,,,,,,,,,,,,,,,,,,,
Snake River,River,Multiple,None,"45°16'24.1""N","116°26'30.7""W","1,080 miles",,,,,,,,,,,,,,,,,,,,
Tanana River,River,Alaska,None,"64° 59' 21.5"" N","150° 24' 27.7"" W",584 miles,,,,,,,,,,,,,,,,,,,,
